C0023791,MENTIONED_IN,27457486,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,27376271,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,HAS_MESH,27376271,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,27294953,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,27792188,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,28561773,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,28269772,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,23875003,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,HAS_MESH,23875003,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,23841061,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,28264587,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,24077434,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,HAS_MESH,24077434,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,24669286,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,24669288,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,25324467,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,26786145,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,26064418,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,25817254,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,26538832,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,17650315,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,22142382,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,21103342,MENTIONED_IN,C0087111,USES,C0033148,3
